"","company_location","review_date","country_of_bean_origin","cocoa_percent","no_ingredients","rating"
"69","U.S.A.",2016,"Nicaragua",60,3,2.75
"70","U.S.A.",2016,"Ecuador",60,3,2.75
"71","U.S.A.",2016,"Peru",60,3,3
"72","U.S.A.",2018,"Dominican Republic",70,3,3
"73","U.S.A.",2007,"Venezuela",70,4,3
"74","U.S.A.",2007,"Madagascar",70,4,3.5
"75","U.S.A.",2007,"Venezuela",70,4,3.75
"76","U.S.A.",2008,"Indonesia",70,4,2.75
"77","U.S.A.",2009,"Venezuela",70,4,3
"78","U.S.A.",2010,"Venezuela",70,4,3
"79","U.S.A.",2010,"Dominican Republic",70,4,3.75
"80","U.S.A.",2010,"Ecuador",70,4,4
"81","U.S.A.",2011,"Papua New Guinea",70,4,4
"82","Spain",2009,"Ecuador",70,2,2.75
"83","Spain",2009,"Ecuador",85,2,2.75
"84","Spain",2009,"Ghana",70,2,3
"85","Spain",2009,"Ghana",85,2,3
"86","Peru",2013,"Peru",72,3,3.25
"87","Peru",2013,"Peru",73,3,3.5
"88","Canada",2015,"Belize",64,4,3
"89","Canada",2015,"Madagascar",66,2,3.25
"90","Canada",2015,"Dominican Republic",75,2,3.25
"91","Canada",2015,"Papua New Guinea",63,2,3.25
"92","Canada",2015,"Venezuela",70,2,3.25
"93","Canada",2015,"Peru",68,2,3.5
"94","Italy",2006,"Blend",66,4,3.75
"95","Italy",2007,"Ecuador",70,4,3
"96","Italy",2007,"Jamaica",70,4,3
"97","Italy",2007,"Grenada",70,4,3.5
"98","Italy",2007,"Trinidad",70,4,3.5
"99","Italy",2007,"Blend",63,4,3.5
"100","Italy",2007,"Venezuela",70,4,3.75
"101","Italy",2012,"Peru",70,4,3.75
"102","Italy",2018,"Madagascar",70,4,3
"103","Italy",2018,"Venezuela",70,4,3
"104","Italy",2018,"Venezuela",70,4,3
"105","Italy",2018,"Blend",75,4,3.5
"106","Italy",2019,"Blend",70,3,2.75
"107","Brazil",2010,"Brazil",85,4,2.75
"108","Brazil",2010,"Brazil",50,4,3.75
"109","Brazil",2010,"Brazil",75,4,3.75
"110","Brazil",2010,"Brazil",60,4,4
"111","Brazil",2013,"Brazil",75,4,3.25
"112","U.S.A.",2014,"Dominican Republic",75,2,3
"113","U.S.A.",2016,"Bolivia",75,2,3.5
"114","U.S.A.",2021,"Belize",75,2,3
"115","U.S.A.",2021,"Guatemala",75,2,3.25
"116","France",2014,"Mexico",72,3,2.5
"117","France",2014,"Ecuador",75,3,2.75
"118","France",2014,"Madagascar",75,3,3
"119","France",2014,"Venezuela",75,3,3
"120","U.S.A.",2015,"Brazil",75,2,2.75
"121","U.S.A.",2015,"Guatemala",70,2,3.25
"122","U.S.A.",2015,"Brazil",70,2,3.5
"123","U.S.A.",2015,"Peru",68,2,3.5
"124","U.S.A.",2015,"Dominican Republic",70,2,3.5
"125","U.S.A.",2015,"Ecuador",75,3,3.5
"126","U.S.A.",2015,"Ecuador",70,2,3.75
"127","U.S.A.",2015,"Belize",70,2,3.75
"128","U.S.A.",2015,"Nicaragua",70,2,4
"129","U.S.A.",2016,"Ecuador",70,3,3.25
"130","U.S.A.",2016,"Ecuador",70,3,3.25
"131","U.S.A.",2016,"Fiji",70,2,3.25
"132","U.S.A.",2016,"Vietnam",73,2,3.25
"133","U.S.A.",2016,"Trinidad",70,2,3.5
"134","U.S.A.",2016,"Vietnam",73,3,3.5
"135","U.S.A.",2016,"Guatemala",70,2,3.5
"136","U.S.A.",2016,"Honduras",70,2,3.5
"137","U.S.A.",2016,"Tanzania",70,2,3.75
"138","U.S.A.",2016,"Nicaragua",70,3,3.75
"139","U.S.A.",2016,"Dominican Republic",70,2,3.75
"140","U.S.A.",2016,"Costa Rica",70,2,4
"141","U.S.A.",2016,"Peru",70,2,4
"142","U.S.A.",2017,"India",70,2,3.5
"143","U.S.A.",2017,"Madagascar",70,3,3.5
"144","U.S.A.",2017,"Vietnam",73,3,3.5
"145","U.S.A.",2017,"Peru",70,3,3.5
"146","U.S.A.",2017,"Bolivia",70,2,4
"147","U.S.A.",2017,"Haiti",70,2,4
"148","U.S.A.",2018,"Trinidad",70,2,3
"149","U.S.A.",2018,"Colombia",70,2,4
"150","U.S.A.",2019,"India",70,3,3
"151","U.S.A.",2019,"India",70,3,3.25
"152","Nicaragua",2018,"Nicaragua",70,2,3
"153","Nicaragua",2018,"Nicaragua",70,2,3.25
"154","Nicaragua",2018,"Nicaragua",70,2,3.5
"155","Nicaragua",2018,"Nicaragua",70,2,3.5
"156","U.K.",2008,"Congo",72,3,3.75
"157","U.K.",2009,"Brazil",72,3,1.75
"158","U.K.",2009,"Venezuela",75,3,2.5
"159","U.K.",2009,"Indonesia",72,3,2.75
"160","U.K.",2009,"Madagascar",80,3,3
"161","U.K.",2009,"Peru",75,3,3
"162","U.K.",2009,"Dominican Republic",72,3,3.25
"163","U.K.",2010,"Costa Rica",72,3,3.25
"164","U.K.",2010,"Vietnam",72,3,3.25
"165","U.K.",2010,"Indonesia",72,3,3.5
"166","U.K.",2010,"Jamaica",72,3,3.75
"167","U.K.",2011,"Panama",72,3,2.75
"168","U.K.",2011,"Haiti",72,3,4
"169","U.K.",2012,"Colombia",72,3,3.75
"170","U.K.",2013,"Trinidad",72,3,3.25
"171","U.K.",2013,"Colombia",72,4,2.75
"172","Italy",2021,"India",72,4,3.25
"173","Italy",2021,"Madagascar",72,4,3.25
"174","Italy",2021,"Tanzania",72,4,3.5
"175","U.S.A.",2007,"Mexico",75,2,2.5
"176","U.S.A.",2007,"Ecuador",70,2,3
"177","U.S.A.",2009,"Philippines",77,2,3.75
"178","U.S.A.",2011,"Tanzania",72,2,3.75
"179","U.S.A.",2011,"Honduras",70,2,3.75
"180","U.S.A.",2016,"Tanzania",68,3,3.75
"181","Australia",2019,"Solomon Islands",70,4,3
"182","Philippines",2018,"Philippines",77,4,2.75
"183","Philippines",2018,"Philippines",70,3,3
"184","Philippines",2018,"Philippines",70,3,3
"185","Philippines",2018,"Philippines",70,3,3.5
"186","Canada",2021,"Colombia",70,2,2.5
"187","Canada",2021,"Dominican Republic",70,2,3
"188","Australia",2012,"Brazil",70,2,2.5
"189","Australia",2012,"Blend",70,2,2.5
"190","Australia",2012,"Madagascar",70,2,3
"191","Australia",2015,"Blend",80,2,3.25
"192","Australia",2015,"Papua New Guinea",70,2,3.5
"193","Brazil",2018,"Brazil",70,2,3
"194","Peru",2015,"Peru",70,3,2.75
"195","Peru",2015,"Peru",70,3,3.5
"196","U.S.A.",2019,"Belize",72,3,2.5
"197","U.S.A.",2019,"Uganda",82,3,2.75
"198","U.S.A.",2019,"Tanzania",72,3,3.25
"199","U.S.A.",2012,"Dominican Republic",70,2,3.25
"200","U.S.A.",2012,"Mexico",70,2,3.5
"201","U.S.A.",2012,"Madagascar",70,2,3.75
"202","U.S.A.",2014,"Peru",70,2,4
"203","U.S.A.",2015,"Brazil",70,2,3.5
"204","U.S.A.",2017,"Costa Rica",72,2,3.5
"205","U.S.A.",2017,"Trinidad",80,2,3.5
"206","Wales",2012,"Costa Rica",80,4,2.75
"207","U.S.A.",2016,"Ecuador",65,3,3.25
"208","U.S.A.",2016,"Dominican Republic",65,3,3.5
"209","U.S.A.",2016,"Brazil",70,3,3.75
"210","U.K.",2019,"Peru",70,4,2.25
"211","U.K.",2017,"Malaysia",73,3,3
"212","U.K.",2017,"Malaysia",72,3,3.25
"213","U.S.A.",2016,"Brazil",80,3,2.75
"214","U.S.A.",2016,"Dominican Republic",70,3,2.75
"215","U.S.A.",2016,"Ecuador",70,3,2.75
"216","U.S.A.",2016,"Ecuador",90,3,2.75
"217","Belgium",2010,"Costa Rica",64,4,2.75
"218","Belgium",2010,"Papua New Guinea",64,4,2.75
"219","Belgium",2010,"Peru",64,4,2.75
"220","Belgium",2010,"Ecuador",71,4,3.5
"221","U.S.A.",2016,"Bolivia",70,3,3.25
"222","U.S.A.",2016,"Tanzania",70,3,3.5
"223","U.S.A.",2016,"Dominican Republic",70,2,3.5
"224","Vietnam",2018,"Vietnam",75,3,3.25
"225","Vietnam",2021,"Vietnam",70,3,3.75
"226","Germany",2016,"Belize",83,3,2.75
"227","Germany",2016,"Belize",78,3,3
"228","Germany",2016,"Belize",83,3,3.5
"229","Singapore",2018,"Vietnam",72,4,3
"230","Singapore",2018,"India",72,4,3
"231","Singapore",2018,"Malaysia",72,4,3
"232","Belgium",2011,"Madagascar",72,3,3.75
"233","Belgium",2011,"Indonesia",72,3,4
"234","Belgium",2013,"Cuba",74,3,3.5
"235","Belgium",2013,"Venezuela",74,3,3.5
"236","Belgium",2013,"Venezuela",74,3,3.5
"237","Belgium",2013,"Ecuador",73,3,4
"238","France",2012,"Blend",55,5,2.75
"239","Switzerland",2010,"Venezuela",70,3,3.25
"240","Switzerland",2010,"Venezuela",74,3,3.25
"241","Switzerland",2010,"Indonesia",64,3,3.5
"242","Switzerland",2010,"Venezuela",72,3,3.5
"243","Switzerland",2011,"Madagascar",64,3,3
"244","Switzerland",2011,"Venezuela",88,3,3
"245","Switzerland",2011,"Venezuela",72,3,3.5
"246","Switzerland",2011,"Ecuador",72,3,4
"247","U.S.A.",2015,"Nicaragua",76,2,2.5
"248","U.S.A.",2015,"Costa Rica",76,2,2.5
"249","U.S.A.",2015,"Costa Rica",78,4,2.5
"250","U.S.A.",2015,"Belize",86,4,3.25
"251","Venezuela",2018,"Venezuela",70,4,3
"252","Venezuela",2018,"Venezuela",70,4,3
"253","Venezuela",2018,"Venezuela",70,4,3.5
"254","U.S.A.",2008,"Madagascar",71,2,3
"255","U.S.A.",2008,"Ghana",70,2,3
"256","U.S.A.",2008,"Panama",75,2,3.5
"257","U.S.A.",2008,"Dominican Republic",68,2,3.75
"258","U.S.A.",2009,"Dominican Republic",75,2,3
"259","U.S.A.",2009,"Madagascar",75,2,3.25
"260","U.S.A.",2009,"Dominican Republic",65,2,3.5
"261","U.S.A.",2009,"Madagascar",65,2,3.5
"262","U.S.A.",2010,"Indonesia",65,2,2.75
"263","U.S.A.",2010,"Madagascar",70,2,3
"264","U.S.A.",2010,"Venezuela",78,2,3
"265","U.S.A.",2010,"Indonesia",75,2,3.25
"266","U.S.A.",2010,"Blend",70,2,3.75
"267","U.S.A.",2012,"Ghana",72,3,3.5
"268","U.S.A.",2018,"Haiti",70,2,3
"269","U.S.A.",2018,"Guatemala",70,2,3
"270","U.S.A.",2018,"Dominican Republic",70,2,3.25
"271","U.S.A.",2019,"Belize",70,2,2.75
"272","U.S.A.",2008,"Dominican Republic",70,3,2.75
"273","U.S.A.",2008,"Venezuela",70,3,2.75
"274","U.S.A.",2008,"Nicaragua",70,3,3
"275","U.S.A.",2021,"Dominican Republic",70,4,3.75
"276","U.K.",2014,"Jamaica",70,4,2.75
"277","U.S.A.",2021,"Colombia",72,3,3.25
"278","U.S.A.",2021,"Belize",72,3,3.25
"279","Spain",2009,"Blend",72,4,2.75
"280","Spain",2013,"Congo",82,4,3.5
"281","U.S.A.",2012,"Guatemala",70,3,3.5
"282","U.S.A.",2012,"Madagascar",70,3,3.75
"283","U.S.A.",2016,"Guatemala",75,2,2.75
"284","U.S.A.",2016,"Dominican Republic",75,2,3
"285","U.S.A.",2016,"Madagascar",82,2,3.5
"286","U.S.A.",2016,"Tanzania",75,2,3.5
"287","U.S.A.",2017,"Belize",70,3,2.75
"288","Malaysia",2019,"Malaysia",68,2,2.5
"289","Malaysia",2019,"Malaysia",72,2,2.75
"290","Malaysia",2019,"Malaysia",74,2,3.25
"291","France",2006,"Sri Lanka",75,3,3
"292","France",2006,"Blend",75,3,3.75
"293","France",2006,"Venezuela",75,3,3.75
"294","France",2006,"Madagascar",75,3,3.75
"295","France",2006,"Venezuela",75,3,4
"296","France",2006,"Venezuela",75,3,4
"297","France",2007,"Ecuador",75,3,2.5
"298","France",2008,"Venezuela",75,3,4
"299","France",2009,"Peru",75,3,2.75
"300","France",2009,"Ivory Coast",75,3,3
"301","France",2009,"Mexico",75,3,3
"302","France",2009,"Mexico",75,3,3
"303","France",2011,"Jamaica",75,3,3.25
"304","France",2011,"Cuba",75,3,3.5
"305","France",2011,"Peru",75,3,3.5
"306","France",2011,"Peru",75,3,3.5
"307","France",2011,"Brazil",75,3,3.5
"308","France",2011,"Brazil",75,3,3.75
"309","France",2011,"Haiti",75,3,4
"310","France",2011,"Madagascar",75,3,4
"311","France",2013,"Gabon",75,3,3.25
"312","France",2013,"Brazil",75,3,3.5
"313","France",2014,"Dominican Republic",75,3,3.25
"314","France",2014,"Blend",65,3,3.75
"315","France",2014,"Brazil",75,3,4
"316","France",2016,"Mexico",75,3,3.5
"317","France",2018,"Peru",75,3,4
"318","France",2018,"Blend",75,3,4
"319","France",2021,"Nicaragua",75,3,3.75
"320","Ecuador",2009,"Ecuador",77,2,3.25
"321","U.S.A.",2018,"Ecuador",75,3,3.5
"322","U.S.A.",2018,"Peru",70,3,3.75
"323","U.S.A.",2018,"Bolivia",70,3,4
"324","U.S.A.",2021,"Tanzania",62,3,3
"325","U.S.A.",2013,"Dominican Republic",72,5,3
"326","U.S.A.",2013,"Ecuador",70,5,3.25
"327","U.S.A.",2013,"Ghana",75,5,3.5
"328","U.S.A.",2013,"Venezuela",85,5,3.5
"329","U.S.A.",2014,"Belize",70,3,3.75
"330","U.S.A.",2014,"Venezuela",70,3,4
"331","U.S.A.",2015,"Dominican Republic",68,3,3.75
"332","U.S.A.",2016,"Venezuela",70,3,3.5
"333","U.S.A.",2016,"Nicaragua",70,3,3.75
"334","U.S.A.",2017,"Dominican Republic",70,3,3.25
"335","U.S.A.",2017,"Ecuador",75,3,3.75
"336","U.S.A.",2015,"Madagascar",80,3,2.75
"337","U.S.A.",2015,"Dominican Republic",60,3,3
"338","U.S.A.",2015,"Dominican Republic",80,3,3.25
"339","U.S.A.",2015,"Belize",80,3,3.25
"340","U.S.A.",2015,"Madagascar",60,3,3.25
"341","U.S.A.",2015,"Guatemala",70,2,3.5
"342","U.S.A.",2013,"Jamaica",70,4,3
"343","Australia",2014,"Trinidad",68,3,2.75
"344","Australia",2014,"Madagascar",72,3,3
"345","Australia",2014,"Dominican Republic",70,3,3.5
"346","Australia",2014,"Ecuador",72,3,3.5
"347","Russia",2015,"Ecuador",70,2,3.25
"348","U.S.A.",2013,"Dominican Republic",68,3,2.75
"349","U.K.",2018,"Bolivia",70,3,2.5
"350","U.K.",2018,"Guatemala",70,3,3
"351","U.S.A.",2014,"Ecuador",60,3,2.5
"352","U.S.A.",2014,"Trinidad",72,3,3.25
"353","U.S.A.",2014,"Belize",72,3,3.25
"354","U.S.A.",2014,"Blend",72,3,3.25
"355","U.S.A.",2014,"Ecuador",72,3,3.5
"356","South Korea",2019,"Ecuador",70,2,3
"357","Taiwan",2019,"Taiwan",70,2,3.25
"358","Taiwan",2019,"Philippines",70,2,3.5
"359","Canada",2019,"Guatemala",70,4,3
"360","Canada",2019,"Guatemala",70,4,3.5
"361","Canada",2019,"Bolivia",70,4,3.75
"362","Puerto Rico",2015,"Puerto Rico",70,2,2.5
"363","U.S.A.",2010,"Venezuela",75,2,2.25
"364","U.S.A.",2010,"Dominican Republic",75,2,2.5
"365","U.S.A.",2010,"Dominican Republic",75,2,2.75
"366","U.S.A.",2014,"Peru",75,2,2.5
"367","France",2007,"Venezuela",72,5,2
"368","France",2007,"Mexico",66,5,3
"369","France",2008,"Tanzania",75,5,2
"370","France",2010,"Dominican Republic",70,5,3
"371","France",2016,"Haiti",65,5,3.5
"372","Switzerland",2018,"Colombia",72,2,2.5
"373","Switzerland",2018,"Colombia",72,2,3
"374","Switzerland",2018,"Colombia",72,2,3.75
"375","Venezuela",2014,"Venezuela",75,2,2.5
"376","Venezuela",2014,"Venezuela",74,2,3.25
"377","Venezuela",2014,"Venezuela",75,2,3.5
"378","Venezuela",2014,"Venezuela",70,2,3.75
"379","Venezuela",2015,"Venezuela",74,2,3.25
"380","Venezuela",2015,"Venezuela",75,2,3.25
"381","Venezuela",2015,"Venezuela",77,2,3.5
"382","Venezuela",2018,"Venezuela",75,2,2.75
"383","Venezuela",2019,"Venezuela",75,2,2.5
"384","Venezuela",2019,"Venezuela",70,2,3
"385","U.S.A.",2018,"Venezuela",70,2,3
"386","Colombia",2014,"Colombia",69,4,2.75
"387","Colombia",2014,"Colombia",70,4,3.25
"388","Colombia",2014,"Colombia",64,4,3.5
"389","Colombia",2014,"Colombia",70,4,3.5
"390","Colombia",2015,"Colombia",72,3,3.75
"391","Colombia",2016,"Colombia",71,3,3.75
"392","Colombia",2016,"Colombia",74,3,3.75
"393","U.S.A.",2016,"Honduras",70,4,3.5
"394","U.S.A.",2011,"Dominican Republic",72,2,3
"395","U.S.A.",2011,"Dominican Republic",65,2,3.25
"396","U.S.A.",2011,"Dominican Republic",66,2,3.75
"397","U.S.A.",2012,"Dominican Republic",72,2,3.75
"398","Spain",2009,"Mexico",70,4,4
"399","Spain",2009,"Mexico",70,4,4
"400","Spain",2010,"Grenada",71,4,3.25
"401","Spain",2010,"Madagascar",71,4,3.5
"402","Spain",2010,"Venezuela",71,4,3.5
"403","Spain",2010,"Venezuela",77,4,3.5
"404","Spain",2010,"Ecuador",71,4,3.75
"405","Spain",2010,"Papua New Guinea",71,4,4
"406","Spain",2016,"Congo",70,4,3.5
"407","U.S.A.",2020,"Dominican Republic",72,4,2.75
"408","U.S.A.",2020,"Peru",72,4,2.75
"409","U.S.A.",2020,"Ecuador",72,4,3
"410","Japan",2015,"Madagascar",70,2,3
"411","Japan",2015,"Peru",70,2,3.25
"412","Japan",2015,"Vietnam",70,2,3.5
"413","Peru",2021,"Peru",70,2,3.5
"414","Peru",2021,"Peru",70,2,3.5
"415","Peru",2021,"Peru",80,2,3.5
"416","Peru",2021,"Peru",70,2,4
"417","Ecuador",2008,"Ecuador",91,4,1.5
"418","Ecuador",2008,"Ecuador",82,4,2.5
"419","Ecuador",2008,"Ecuador",63,4,3.5
"420","Ecuador",2008,"Ecuador",71,4,3.5
"421","Italy",2011,"Sao Tome",78,2,2.25
"422","Italy",2011,"Trinidad",70,2,2.5
"423","Italy",2012,"Venezuela",80,2,3
"424","Italy",2013,"Ecuador",100,1,3.5
"425","Italy",2014,"Cuba",75,2,2.5
"426","Italy",2014,"Dominican Republic",72,2,3
"427","Italy",2014,"Blend",70,2,3.5
"428","U.S.A.",2016,"Venezuela",75,3,2.5
"429","U.S.A.",2016,"Tanzania",73,3,2.75
"430","U.S.A.",2016,"Venezuela",70,3,3
"431","U.S.A.",2016,"Bolivia",75,3,3
"432","U.S.A.",2016,"Brazil",70,3,3.25
"433","Colombia",2021,"Colombia",70,4,3.25
"434","Colombia",2021,"Colombia",70,4,3.25
"435","Colombia",2021,"Colombia",70,4,3.5
"436","Colombia",2021,"Colombia",70,4,3.75
"437","Ecuador",2008,"Ecuador",77,4,2
"438","Ecuador",2008,"Ecuador",77,4,2.5
"439","Ecuador",2008,"Ecuador",77,4,2.75
"440","Ecuador",2008,"Ecuador",55,4,3
"441","Ecuador",2008,"Ecuador",55,4,3.25
"442","Ecuador",2008,"Ecuador",55,4,3.5
"443","New Zealand",2014,"Papua New Guinea",70,3,3.5
"444","New Zealand",2014,"Papua New Guinea",70,3,3.75
"445","U.S.A.",2021,"Nicaragua",70,3,3
"446","U.S.A.",2021,"Tanzania",70,3,3.25
"447","U.S.A.",2021,"Peru",70,3,3.25
"448","U.S.A.",2021,"Mexico",70,3,3.25
"449","Costa Rica",2012,"Costa Rica",80,2,2.75
"450","Costa Rica",2012,"Costa Rica",72,2,3
"451","Costa Rica",2015,"Costa Rica",72,2,3.25
"452","Costa Rica",2015,"Guatemala",72,3,3.5
"453","Costa Rica",2015,"Costa Rica",72,2,3.5
"454","Colombia",2016,"Colombia",65,3,3
"455","Colombia",2016,"Colombia",65,3,3.25
"456","Colombia",2016,"Colombia",65,3,3.25
"457","Colombia",2016,"Colombia",65,3,3.5
"458","Colombia",2016,"Colombia",65,3,3.5
"459","U.S.A.",2018,"Blend",75,2,2
"460","Brazil",2019,"Brazil",71,2,3
"461","Brazil",2019,"Brazil",65,2,3.25
"462","U.S.A.",2013,"Peru",70,3,2.5
"463","U.S.A.",2013,"Peru",70,3,2.75
"464","U.S.A.",2013,"Bolivia",70,3,3
"465","U.S.A.",2013,"Venezuela",72,3,3
"466","U.S.A.",2013,"Venezuela",70,3,3.25
"467","U.S.A.",2013,"Nicaragua",72,3,3.25
"468","U.S.A.",2013,"Dominican Republic",73,2,3.5
"469","U.S.A.",2014,"Dominican Republic",70,3,2.75
"470","U.S.A.",2014,"Colombia",72,3,3.5
"471","U.S.A.",2014,"Colombia",76,3,3.5
"472","U.S.A.",2015,"Honduras",72,3,3.5
"473","U.S.A.",2015,"Venezuela",72,3,3.5
"474","U.S.A.",2015,"Dominican Republic",70,3,3.75
"475","U.S.A.",2016,"Belize",72,3,4
"476","U.S.A.",2017,"Venezuela",70,2,3.25
"477","U.S.A.",2019,"Puerto Rico",70,3,3.5
"478","U.S.A.",2019,"Mexico",70,3,3.75
"479","U.S.A.",2021,"Peru",70,3,4
"480","U.S.A.",2021,"Venezuela",72,3,4
"481","U.S.A.",2014,"Ecuador",70,3,2.5
"482","U.S.A.",2014,"Peru",70,3,2.75
"483","U.S.A.",2014,"Venezuela",70,3,2.75
"484","U.S.A.",2014,"Bolivia",70,3,3
"485","Canada",2014,"Uganda",70,3,2.75
"486","Canada",2021,"Madagascar",70,3,3
"487","Canada",2021,"Belize",70,3,3
"488","Canada",2021,"Peru",72,3,3.25
"489","France",2017,"Bolivia",74,2,3
"490","France",2018,"Venezuela",68,3,3.5
"491","U.S.A.",2016,"Belize",70,3,3.25
"492","Ecuador",2008,"Ecuador",75,3,3
"493","Ecuador",2010,"Ecuador",55,3,2.75
"494","U.S.A.",2014,"Costa Rica",70,3,3.5
"495","U.S.A.",2018,"Peru",72,3,3
"496","U.S.A.",2019,"Ecuador",72,3,3.5
"497","U.S.A.",2021,"Colombia",83,3,3.25
"498","U.S.A.",2021,"Dominican Republic",69,3,3.25
"499","U.K.",2015,"Ecuador",70,3,3.25
"500","Germany",2014,"Belize",75,2,3
"501","Germany",2014,"Belize",82,2,3.25
"502","South Korea",2015,"Vietnam",70,2,2.75
"503","South Korea",2015,"Malaysia",70,2,3.5
"504","Hungary",2019,"Nicaragua",72,3,2.5
"505","Hungary",2019,"Dominican Republic",71,3,3.25
"506","U.K.",2015,"Peru",65,2,2.5
"507","U.K.",2015,"Dominican Republic",80,2,2.5
"508","U.K.",2015,"Peru",65,2,2.75
"509","U.K.",2019,"Madagascar",74,2,3
"510","U.S.A.",2011,"Madagascar",70,2,3.75
"511","U.S.A.",2011,"Venezuela",68,2,3.75
"512","U.S.A.",2016,"Peru",90,2,2.5
"513","U.S.A.",2016,"Blend",80,2,2.5
"514","U.S.A.",2016,"Bolivia",70,2,2.5
"515","U.S.A.",2016,"Uganda",70,2,2.75
"516","U.S.A.",2016,"Nicaragua",80,2,2.75
"517","U.S.A.",2016,"Dominican Republic",60,2,3
"518","U.S.A.",2016,"Dominican Republic",75,2,3
"519","U.S.A.",2016,"Venezuela",80,2,3
"520","U.S.A.",2016,"Ecuador",70,2,3.25
"521","U.S.A.",2014,"Peru",74,3,2.75
"522","Amsterdam",2015,"Dominican Republic",75,3,3.25
"523","Amsterdam",2015,"Congo",68,3,3.5
"524","Amsterdam",2015,"Peru",80,3,3.75
"525","Scotland",2012,"Ecuador",82,3,2.5
"526","Scotland",2012,"Peru",68,3,2.75
"527","Scotland",2012,"Madagascar",72,3,3.25
"528","Scotland",2013,"Peru",70,2,3.75
"529","Scotland",2015,"Peru",69,3,3.75
"530","Scotland",2015,"Venezuela",80,2,3.75
"531","Scotland",2021,"Venezuela",70,3,2.75
"532","U.S.A.",2018,"Dominican Republic",72,3,3.25
"533","Belgium",2019,"India",70,3,3
"534","Canada",2014,"Mexico",70,4,2.5
"535","U.S.A.",2018,"India",63,3,2.5
"536","U.S.A.",2018,"Guatemala",76,2,2.75
"537","U.S.A.",2018,"Peru",70,2,2.75
"538","Canada",2016,"Mexico",75,3,3.25
"539","U.S.A.",2021,"Guatemala",70,2,3.25
"540","U.S.A.",2021,"Dominican Republic",73,2,3.25
"541","U.S.A.",2021,"Belize",70,2,3.5
"542","Spain",2007,"Ecuador",71,4,2.5
"543","Spain",2007,"Grenada",71,4,2.5
"544","Spain",2007,"Blend",70,4,3
