"","prof_id","score","bty_avg","gender"
"263",49,4.8,3.167,"male"
"264",49,3.8,3.167,"male"
"265",50,4.5,5.833,"female"
"266",50,4.9,5.833,"female"
"267",50,4.9,5.833,"female"
"268",50,4.8,5.833,"female"
"269",50,4.7,5.833,"female"
"270",50,4.6,5.833,"female"
"271",51,4.3,5.667,"male"
"272",51,4.4,5.667,"male"
"273",51,4.5,5.667,"male"
"274",51,4.2,5.667,"male"
"275",52,4.8,6.5,"female"
"276",52,4.6,6.5,"female"
"277",52,4.9,6.5,"female"
"278",52,4.8,6.5,"female"
"279",52,4.8,6.5,"female"
"280",52,4.6,6.5,"female"
"281",52,4.7,6.5,"female"
"282",53,4.1,1.667,"female"
"283",53,3.8,1.667,"female"
"284",53,4,1.667,"female"
"285",53,4.1,1.667,"female"
"286",53,4,1.667,"female"
"287",53,4.1,1.667,"female"
"288",54,3.5,6.667,"male"
"289",54,4.1,6.667,"male"
"290",54,3.6,6.667,"male"
"291",55,4,3.667,"male"
"292",55,3.9,3.667,"male"
"293",55,3.8,3.667,"male"
"294",56,4.4,3.833,"male"
"295",56,4.7,3.833,"male"
"296",57,3.8,6.167,"female"
"297",57,4.1,6.167,"female"
"298",58,4.1,3.333,"female"
"299",58,4.7,3.333,"female"
"300",58,4.3,3.333,"female"
"301",58,4.4,3.333,"female"
"302",58,4.5,3.333,"female"
"303",58,3.1,3.333,"female"
"304",58,3.7,3.333,"female"
"305",58,4.5,3.333,"female"
"306",58,3,3.333,"female"
"307",58,4.6,3.333,"female"
"308",59,3.7,3.667,"male"
"309",59,3.6,3.667,"male"
"310",60,3.2,3.5,"female"
"311",60,3.3,3.5,"female"
"312",60,2.9,3.5,"female"
"313",61,4.2,2.667,"male"
"314",62,4.5,5.667,"male"
"315",63,3.8,6,"female"
"316",63,3.7,6,"female"
"317",64,3.7,6.5,"female"
"318",64,4,6.5,"female"
"319",64,3.7,6.5,"female"
"320",65,4.5,2.333,"female"
"321",65,3.8,2.333,"female"
"322",65,3.9,2.333,"female"
"323",65,4.6,2.333,"female"
"324",65,4.5,2.333,"female"
"325",65,4.2,2.333,"female"
"326",65,4,2.333,"female"
"327",66,3.8,2.333,"male"
"328",66,3.5,2.333,"male"
"329",66,2.7,2.333,"male"
"330",66,4,2.333,"male"
"331",66,4.6,2.333,"male"
"332",66,3.9,2.333,"male"
"333",67,4.5,7.167,"male"
"334",67,3.7,7.167,"male"
"335",68,2.4,1.667,"male"
"336",68,3.1,1.667,"male"
"337",68,2.5,1.667,"male"
"338",69,3,5.167,"female"
"339",70,4.5,3.5,"male"
"340",70,4.8,3.5,"male"
"341",70,4.9,3.5,"male"
"342",70,4.5,3.5,"male"
"343",70,4.6,3.5,"male"
"344",70,4.5,3.5,"male"
"345",70,4.9,3.5,"male"
"346",70,4.4,3.5,"male"
"347",70,4.6,3.5,"male"
"348",71,4.6,3.333,"male"
"349",71,5,3.333,"male"
"350",71,4.9,3.333,"male"
"351",71,4.6,3.333,"male"
"352",71,4.8,3.333,"male"
"353",71,4.9,3.333,"male"
"354",71,4.9,3.333,"male"
"355",71,4.9,3.333,"male"
"356",71,5,3.333,"male"
"357",71,4.5,3.333,"male"
"358",72,3.5,5.833,"male"
"359",72,3.8,5.833,"male"
"360",72,3.9,5.833,"male"
"361",72,3.9,5.833,"male"
"362",72,4.2,5.833,"male"
"363",72,4.1,5.833,"male"
"364",73,4.8,6.167,"male"
"365",73,4.8,6.167,"male"
"366",73,4.8,6.167,"male"
"367",73,4.8,6.167,"male"
"368",73,4.9,6.167,"male"
"369",74,4.2,3.333,"male"
"370",74,4.5,3.333,"male"
"371",74,3.9,3.333,"male"
"372",74,4.4,3.333,"male"
"373",75,4,5.167,"female"
"374",75,3.6,5.167,"female"
"375",76,3.7,4.167,"female"
"376",76,2.7,4.167,"female"
"377",77,4.5,2.5,"female"
"378",77,4.4,2.5,"female"
"379",77,3.9,2.5,"female"
"380",77,3.6,2.5,"female"
"381",77,4.4,2.5,"female"
"382",77,4.4,2.5,"female"
"383",78,4.7,4.333,"male"
"384",78,4.5,4.333,"male"
"385",78,4.1,4.333,"male"
"386",78,3.7,4.333,"male"
"387",79,4.3,3,"male"
"388",79,3.5,3,"male"
"389",79,3.7,3,"male"
"390",80,4,6.333,"female"
"391",80,4,6.333,"female"
"392",80,3.1,6.333,"female"
"393",80,4.5,6.333,"female"
"394",81,4.8,3.333,"male"
"395",81,4.2,3.333,"male"
"396",81,4.9,3.333,"male"
"397",81,4.8,3.333,"male"
"398",82,3.5,2.833,"male"
"399",82,3.6,2.833,"male"
"400",82,4.4,2.833,"male"
"401",82,3.4,2.833,"male"
"402",82,3.9,2.833,"male"
"403",82,3.8,2.833,"male"
"404",82,4.8,2.833,"male"
"405",82,4.6,2.833,"male"
"406",82,5,2.833,"male"
"407",82,3.8,2.833,"male"
"408",82,4.2,2.833,"male"
"409",83,3.3,6.667,"female"
"410",83,4.7,6.667,"female"
"411",83,4.6,6.667,"female"
"412",83,4.6,6.667,"female"
"413",83,4,6.667,"female"
"414",84,4.2,6.833,"female"
"415",84,4.9,6.833,"female"
"416",84,4.5,6.833,"female"
"417",84,4.8,6.833,"female"
"418",84,3.8,6.833,"female"
"419",85,4.8,7.833,"male"
"420",85,5,7.833,"male"
"421",85,5,7.833,"male"
"422",85,4.9,7.833,"male"
"423",85,4.6,7.833,"male"
"424",85,5,7.833,"male"
"425",85,4.8,7.833,"male"
"426",85,4.9,7.833,"male"
"427",86,4.9,7.833,"male"
"428",86,3.9,7.833,"male"
"429",86,3.9,7.833,"male"
"430",87,4.5,5.833,"male"
"431",87,4.5,5.833,"male"
"432",88,3.3,2,"male"
"433",88,3.1,2,"male"
"434",88,2.8,2,"male"
"435",88,3.1,2,"male"
"436",88,4.2,2,"male"
"437",88,3.4,2,"male"
"438",88,3,2,"male"
"439",89,3.3,7.833,"female"
"440",89,3.6,7.833,"female"
"441",89,3.7,7.833,"female"
"442",90,3.6,3.333,"male"
"443",90,4.3,3.333,"male"
"444",91,4.1,4.5,"female"
"445",91,4.9,4.5,"female"
"446",91,4.8,4.5,"female"
"447",92,3.7,4.333,"female"
"448",92,3.9,4.333,"female"
"449",92,4.5,4.333,"female"
"450",92,3.6,4.333,"female"
"451",92,4.4,4.333,"female"
"452",92,3.4,4.333,"female"
"453",92,4.4,4.333,"female"
"454",93,4.5,6.833,"male"
"455",93,4.5,6.833,"male"
"456",93,4.5,6.833,"male"
"457",93,4.6,6.833,"male"
"458",93,4.1,6.833,"male"
"459",93,4.5,6.833,"male"
"460",94,3.5,5.333,"female"
"461",94,4.4,5.333,"female"
"462",94,4.4,5.333,"female"
"463",94,4.1,5.333,"female"
