"year","age","gender","race","region","income","union","dem","educ"
"year1980",59,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",36,"female","white","W","middle 1/3","no",1,"College"
"year1980",18,"female","white","W","lower 1/3","yes",1,"HS or less"
"year1980",58,"female","white","W","middle 1/3","yes",0,"HS or less"
"year1980",64,"female","white","W","middle 1/3","no",0,"HS or less"
"year1980",68,"male","white","W","lower 1/3","no",1,"HS or less"
"year1980",66,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",31,"male","white","S","upper 1/3","no",0,"College"
"year1980",74,"male","white","NC","lower 1/3","no",1,"HS or less"
"year1980",67,"male","white","NC","middle 1/3","no",1,"HS or less"
"year1980",21,"male","white","NC","upper 1/3","yes",1,"College"
"year1980",53,"male","white","S","upper 1/3","yes",0,"College"
"year1980",59,"female","white","S","upper 1/3","no",0,"HS or less"
"year1980",29,"female","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",61,"female","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",24,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",80,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",38,"male","white","W","middle 1/3","no",0,"College"
"year1980",32,"male","white","W","middle 1/3","no",0,"College"
"year1980",42,"female","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",76,"male","white","NE","lower 1/3","no",0,"HS or less"
"year1980",69,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",34,"female","white","NE","upper 1/3","no",1,"College"
"year1980",27,"male","black","NE","middle 1/3","no",1,"College"
"year1980",52,"female","white","S","upper 1/3","no",1,"College"
"year1980",63,"female","white","S","upper 1/3","no",0,"College"
"year1980",32,"female","white","S","upper 1/3","no",0,"College"
"year1980",48,"male","black","S","upper 1/3","no",1,"HS or less"
"year1980",63,"female","white","NE","lower 1/3","yes",0,"HS or less"
"year1980",71,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",61,"female","white","S","upper 1/3","no",0,"College"
"year1980",73,"male","white","NC","lower 1/3","no",0,"HS or less"
"year1980",66,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",55,"male","white","NE","middle 1/3","no",0,"College"
"year1980",72,"male","white","W","lower 1/3","no",1,"HS or less"
"year1980",36,"female","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",29,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",63,"male","white","W","upper 1/3","no",1,"College"
"year1980",32,"male","white","S","upper 1/3","no",0,"College"
"year1980",56,"male","white","S","upper 1/3","no",0,"HS or less"
"year1980",77,"female","white","W","lower 1/3","no",1,"HS or less"
"year1980",56,"male","white","W","middle 1/3","yes",0,"HS or less"
"year1980",46,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",76,"female","white","NC","lower 1/3","no",0,"College"
"year1980",55,"male","black","NE","lower 1/3","yes",0,"HS or less"
"year1980",71,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",28,"female","white","W","lower 1/3","no",1,"College"
"year1980",26,"female","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",40,"male","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",82,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",27,"male","black","S","middle 1/3","no",1,"College"
"year1980",60,"male","black","S","upper 1/3","no",1,"HS or less"
"year1980",27,"male","white","W","middle 1/3","yes",1,"College"
"year1980",41,"male","white","W","middle 1/3","no",0,"College"
"year1980",41,"male","white","NC","upper 1/3","yes",0,"College"
"year1980",32,"female","white","W","upper 1/3","yes",1,"HS or less"
"year1980",22,"male","white","NC","middle 1/3","no",0,"College"
"year1980",24,"female","white","W","upper 1/3","yes",0,"College"
"year1980",27,"male","black","S","lower 1/3","no",0,"HS or less"
"year1980",52,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",29,"male","white","NC","lower 1/3","no",0,"College"
"year1980",60,"male","white","NC","middle 1/3","no",1,"HS or less"
"year1980",29,"male","white","NC","upper 1/3","no",0,"HS or less"
"year1980",58,"female","white","S","lower 1/3","no",1,"College"
"year1980",44,"female","white","S","middle 1/3","yes",0,"College"
"year1980",69,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",49,"male","white","NE","upper 1/3","no",1,"HS or less"
"year1980",54,"female","white","S","middle 1/3","yes",1,"College"
"year1980",47,"male","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",71,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",34,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",33,"female","other","S","middle 1/3","no",0,"HS or less"
"year1980",66,"female","white","NE","lower 1/3","yes",1,"HS or less"
"year1980",74,"male","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",34,"female","white","NE","upper 1/3","no",1,"HS or less"
"year1980",42,"female","white","S","upper 1/3","no",0,"College"
"year1980",25,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",83,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",70,"male","white","NC","middle 1/3","no",1,"HS or less"
"year1980",47,"female","black","NC","middle 1/3","yes",1,"HS or less"
"year1980",42,"female","black","NC","middle 1/3","yes",1,"College"
"year1980",50,"female","white","S","upper 1/3","no",0,"HS or less"
"year1980",58,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",44,"female","black","S","middle 1/3","no",1,"HS or less"
"year1980",72,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",43,"female","white","S","upper 1/3","yes",1,"HS or less"
"year1980",33,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",54,"male","white","S","upper 1/3","no",1,"HS or less"
"year1980",47,"female","white","W","upper 1/3","no",0,"College"
"year1980",60,"male","white","NE","middle 1/3","no",0,"HS or less"
"year1980",18,"female","white","S","middle 1/3","no",1,"College"
"year1980",70,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",29,"female","white","NE","middle 1/3","no",0,"HS or less"
"year1980",54,"male","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",42,"male","white","W","middle 1/3","no",1,"College"
"year1980",36,"female","white","S","lower 1/3","no",1,"College"
"year1980",19,"male","white","S","middle 1/3","yes",0,"HS or less"
"year1980",57,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",33,"female","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",66,"female","white","W","middle 1/3","no",0,"HS or less"
"year1980",43,"male","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",61,"male","other","S","lower 1/3","no",1,"HS or less"
"year1980",69,"female","white","NC","lower 1/3","yes",1,"HS or less"
"year1980",59,"female","white","W","middle 1/3","no",1,"College"
"year1980",88,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",40,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",47,"male","black","S","upper 1/3","no",1,"HS or less"
"year1980",39,"female","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",73,"female","black","NE","lower 1/3","no",1,"HS or less"
"year1980",21,"female","black","NC","middle 1/3","no",1,"HS or less"
"year1980",20,"male","white","NC","upper 1/3","no",0,"College"
"year1980",27,"female","white","NC","lower 1/3","no",0,"College"
"year1980",73,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",40,"female","white","NC","upper 1/3","no",1,"HS or less"
"year1980",41,"female","white","NC","middle 1/3","no",0,"College"
"year1980",20,"female","white","W","lower 1/3","no",1,"HS or less"
"year1980",44,"female","white","NC","upper 1/3","yes",0,"College"
"year1980",28,"male","white","NC","upper 1/3","no",0,"College"
"year1980",45,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",39,"male","white","NE","middle 1/3","yes",0,"College"
"year1980",69,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",32,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",59,"female","white","NE","middle 1/3","yes",1,"HS or less"
"year1980",64,"male","white","S","middle 1/3","no",1,"College"
"year1980",21,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",19,"female","white","S","lower 1/3","no",1,"College"
"year1980",42,"male","white","NE","upper 1/3","no",0,"College"
"year1980",24,"male","black","NE","upper 1/3","yes",1,"HS or less"
"year1980",19,"male","white","NC","lower 1/3","yes",0,"HS or less"
"year1980",35,"female","white","NE","upper 1/3","no",1,"HS or less"
"year1980",56,"female","white","S","upper 1/3","no",1,"HS or less"
"year1980",36,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",34,"female","white","S","middle 1/3","no",1,"College"
"year1980",26,"male","white","NE","upper 1/3","no",1,"College"
"year1980",33,"male","white","W","middle 1/3","no",0,"College"
"year1980",75,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",76,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",32,"female","white","W","lower 1/3","no",1,"College"
"year1980",52,"female","white","W","middle 1/3","yes",1,"HS or less"
"year1980",26,"female","other","S","middle 1/3","no",0,"HS or less"
"year1980",48,"female","white","S","upper 1/3","no",1,"HS or less"
"year1980",37,"female","white","S","upper 1/3","no",0,"HS or less"
"year1980",74,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",56,"female","white","S","middle 1/3","yes",1,"HS or less"
"year1980",42,"male","white","S","upper 1/3","yes",1,"HS or less"
"year1980",58,"male","black","NC","middle 1/3","yes",1,"HS or less"
"year1980",73,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",79,"male","other","S","lower 1/3","yes",1,"HS or less"
"year1980",28,"male","white","S","upper 1/3","no",0,"College"
"year1980",62,"male","white","NE","middle 1/3","yes",1,"HS or less"
"year1980",73,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",61,"male","other","S","upper 1/3","no",1,"College"
"year1980",42,"male","other","S","middle 1/3","yes",1,"College"
"year1980",66,"female","white","NE","lower 1/3","no",0,"College"
"year1980",27,"female","black","S","lower 1/3","no",0,"HS or less"
"year1980",32,"male","white","S","middle 1/3","yes",1,"HS or less"
"year1980",76,"male","white","NC","upper 1/3","no",0,"College"
"year1980",27,"female","black","S","middle 1/3","no",1,"College"
"year1980",27,"female","white","NE","middle 1/3","yes",0,"College"
"year1980",40,"male","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",71,"female","black","NE","middle 1/3","yes",1,"HS or less"
"year1980",30,"female","white","W","middle 1/3","no",0,"HS or less"
"year1980",56,"male","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",31,"male","white","W","upper 1/3","no",0,"HS or less"
"year1980",23,"male","white","W","lower 1/3","no",1,"College"
"year1980",21,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",29,"male","black","S","lower 1/3","no",1,"College"
"year1980",33,"male","white","W","upper 1/3","no",1,"College"
"year1980",78,"male","white","W","upper 1/3","no",0,"College"
"year1980",25,"female","white","S","lower 1/3","no",1,"College"
"year1980",75,"female","white","S","middle 1/3","no",1,"College"
"year1980",45,"male","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",25,"male","white","S","lower 1/3","no",1,"College"
"year1980",77,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",51,"male","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",33,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",77,"male","white","NE","lower 1/3","yes",1,"HS or less"
"year1980",28,"male","other","W","upper 1/3","yes",0,"HS or less"
"year1980",51,"male","white","S","middle 1/3","no",0,"College"
"year1980",76,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",65,"female","white","NE","upper 1/3","no",0,"HS or less"
"year1980",79,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",29,"female","other","NE","lower 1/3","no",1,"HS or less"
"year1980",25,"female","white","W","middle 1/3","no",1,"HS or less"
"year1980",40,"male","white","NC","upper 1/3","no",1,"College"
"year1980",70,"female","black","NE","lower 1/3","no",1,"HS or less"
"year1980",75,"female","white","W","lower 1/3","no",1,"HS or less"
"year1980",67,"female","white","NC","lower 1/3","yes",1,"College"
"year1980",23,"female","black","S","lower 1/3","no",1,"College"
"year1980",72,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",66,"female","white","S","lower 1/3","no",0,"College"
"year1980",20,"female","white","NE","middle 1/3","yes",1,"College"
"year1980",43,"female","white","NC","upper 1/3","no",0,"College"
"year1980",27,"female","other","W","middle 1/3","yes",1,"College"
"year1980",75,"female","white","NC","middle 1/3","no",0,"HS or less"
"year1980",61,"male","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",51,"male","white","W","upper 1/3","no",0,"College"
"year1980",24,"female","white","W","middle 1/3","no",0,"College"
"year1980",42,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",37,"female","white","NC","upper 1/3","yes",0,"College"
"year1980",22,"male","white","S","middle 1/3","yes",0,"HS or less"
"year1980",80,"male","white","NE","lower 1/3","no",0,"HS or less"
"year1980",66,"female","white","W","lower 1/3","no",0,"College"
"year1980",35,"female","white","W","upper 1/3","yes",0,"HS or less"
"year1980",54,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",65,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",33,"female","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",56,"female","white","NC","lower 1/3","yes",0,"HS or less"
"year1980",75,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",53,"male","white","W","upper 1/3","no",1,"HS or less"
"year1980",50,"female","white","NE","middle 1/3","no",0,"College"
"year1980",30,"female","white","NC","middle 1/3","no",0,"College"
"year1980",21,"female","white","W","lower 1/3","no",0,"HS or less"
"year1980",60,"male","white","W","upper 1/3","no",0,"College"
"year1980",72,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",55,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",31,"male","white","S","middle 1/3","no",0,"College"
"year1980",28,"male","white","NC","middle 1/3","no",1,"College"
"year1980",64,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",43,"male","white","S","middle 1/3","yes",0,"HS or less"
"year1980",45,"male","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",28,"female","black","S","lower 1/3","no",1,"College"
"year1980",65,"female","white","S","lower 1/3","no",0,"College"
"year1980",30,"female","black","NC","middle 1/3","no",1,"HS or less"
"year1980",41,"male","white","W","upper 1/3","no",0,"College"
"year1980",26,"female","white","W","middle 1/3","no",1,"HS or less"
"year1980",59,"male","white","W","middle 1/3","yes",1,"HS or less"
"year1980",30,"male","white","W","upper 1/3","no",0,"College"
"year1980",48,"male","white","NC","upper 1/3","no",0,"College"
"year1980",69,"female","white","NE","lower 1/3","yes",1,"HS or less"
"year1980",61,"female","black","S","upper 1/3","yes",1,"College"
"year1980",67,"female","white","S","lower 1/3","no",1,"College"
"year1980",19,"female","white","S","middle 1/3","no",1,"College"
"year1980",60,"female","black","S","lower 1/3","no",1,"College"
"year1980",64,"male","white","W","middle 1/3","no",1,"HS or less"
"year1980",77,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",28,"male","white","S","middle 1/3","yes",0,"College"
"year1980",18,"female","white","NE","middle 1/3","yes",0,"College"
"year1980",52,"male","white","NE","upper 1/3","no",0,"College"
"year1980",65,"male","white","S","lower 1/3","yes",1,"HS or less"
"year1980",66,"male","white","S","upper 1/3","no",0,"HS or less"
"year1980",37,"male","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",22,"female","white","NE","upper 1/3","yes",1,"HS or less"
"year1980",51,"female","white","NE","middle 1/3","no",0,"HS or less"
"year1980",36,"female","black","S","middle 1/3","no",1,"HS or less"
"year1980",36,"male","white","NC","upper 1/3","yes",0,"HS or less"
"year1980",62,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",74,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",33,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",54,"female","white","S","upper 1/3","no",1,"College"
"year1980",18,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",55,"male","white","S","middle 1/3","no",1,"HS or less"
"year1980",52,"male","other","S","upper 1/3","yes",1,"College"
"year1980",67,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",57,"female","black","NC","middle 1/3","no",1,"HS or less"
"year1980",53,"female","white","NE","middle 1/3","no",1,"College"
"year1980",27,"male","white","W","upper 1/3","yes",0,"College"
"year1980",57,"male","white","S","lower 1/3","no",0,"HS or less"
"year1980",59,"male","white","NC","middle 1/3","yes",0,"College"
"year1980",54,"male","black","NC","upper 1/3","yes",1,"HS or less"
"year1980",24,"female","white","S","middle 1/3","no",0,"College"
"year1980",42,"female","white","S","upper 1/3","no",1,"College"
"year1980",62,"male","white","S","upper 1/3","no",0,"HS or less"
"year1980",26,"male","black","S","middle 1/3","no",1,"College"
"year1980",48,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",59,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",54,"male","white","S","middle 1/3","no",1,"HS or less"
"year1980",28,"male","white","NE","lower 1/3","no",0,"HS or less"
"year1980",57,"male","white","S","upper 1/3","no",1,"HS or less"
"year1980",76,"female","white","NE","lower 1/3","yes",1,"HS or less"
"year1980",27,"male","white","NC","middle 1/3","yes",0,"College"
"year1980",29,"female","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",47,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",35,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",77,"female","other","NC","lower 1/3","no",1,"HS or less"
"year1980",43,"female","white","NC","middle 1/3","no",0,"HS or less"
"year1980",28,"female","white","NC","upper 1/3","yes",0,"College"
"year1980",28,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",62,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",80,"male","other","NE","middle 1/3","no",0,"College"
"year1980",42,"female","other","S","upper 1/3","no",0,"College"
"year1980",49,"female","white","NE","upper 1/3","no",1,"HS or less"
"year1980",27,"female","white","W","middle 1/3","no",1,"College"
"year1980",68,"female","white","S","lower 1/3","no",0,"HS or less"
"year1980",67,"male","white","S","middle 1/3","no",1,"College"
"year1980",55,"male","white","NE","upper 1/3","no",0,"College"
"year1980",74,"female","white","W","middle 1/3","no",0,"HS or less"
"year1980",64,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",55,"male","white","S","middle 1/3","no",1,"College"
"year1980",53,"male","white","NC","upper 1/3","no",0,"HS or less"
"year1980",50,"male","white","W","upper 1/3","no",0,"College"
"year1980",35,"male","other","S","lower 1/3","no",0,"HS or less"
"year1980",24,"female","white","NE","middle 1/3","no",0,"HS or less"
"year1980",65,"male","white","W","lower 1/3","no",1,"HS or less"
"year1980",39,"male","white","W","upper 1/3","no",0,"College"
"year1980",57,"male","white","NC","lower 1/3","no",1,"HS or less"
"year1980",43,"male","white","NC","middle 1/3","no",0,"College"
"year1980",59,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",54,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",25,"male","white","S","lower 1/3","no",0,"College"
"year1980",32,"male","other","W","middle 1/3","yes",0,"HS or less"
"year1980",28,"female","white","W","upper 1/3","no",0,"College"
"year1980",23,"male","white","S","middle 1/3","yes",1,"College"
"year1980",55,"male","black","S","middle 1/3","no",1,"HS or less"
"year1980",79,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",34,"male","black","S","lower 1/3","no",1,"College"
"year1980",54,"female","white","W","upper 1/3","no",0,"College"
"year1980",76,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",50,"female","white","W","upper 1/3","yes",0,"HS or less"
"year1980",54,"female","white","NC","middle 1/3","no",1,"HS or less"
"year1980",70,"male","white","NE","lower 1/3","no",1,"HS or less"
"year1980",61,"male","white","NC","middle 1/3","yes",0,"College"
"year1980",63,"male","white","NE","middle 1/3","yes",1,"HS or less"
"year1980",29,"male","black","NE","lower 1/3","no",1,"HS or less"
"year1980",30,"female","white","NC","middle 1/3","no",0,"HS or less"
"year1980",25,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",83,"male","white","W","upper 1/3","yes",0,"HS or less"
"year1980",66,"female","white","S","upper 1/3","no",1,"HS or less"
"year1980",70,"male","white","S","lower 1/3","no",1,"HS or less"
"year1980",19,"male","white","S","middle 1/3","no",1,"HS or less"
"year1980",80,"male","white","W","upper 1/3","no",0,"College"
"year1980",23,"female","white","NC","middle 1/3","no",1,"College"
"year1980",27,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",23,"male","white","W","lower 1/3","yes",0,"HS or less"
"year1980",61,"male","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",23,"female","white","NC","middle 1/3","no",1,"College"
"year1980",44,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",19,"male","white","NE","middle 1/3","yes",1,"College"
"year1980",43,"male","white","NE","upper 1/3","no",0,"College"
"year1980",29,"male","white","NE","lower 1/3","no",1,"HS or less"
"year1980",46,"male","white","S","middle 1/3","no",1,"College"
"year1980",29,"male","white","NE","middle 1/3","no",1,"College"
"year1980",79,"female","white","NE","middle 1/3","no",0,"College"
"year1980",46,"female","white","NE","upper 1/3","no",1,"College"
"year1980",60,"male","white","NE","middle 1/3","yes",1,"HS or less"
"year1980",27,"female","white","NE","middle 1/3","no",0,"HS or less"
"year1980",64,"female","white","NE","upper 1/3","no",1,"College"
"year1980",43,"female","black","NC","upper 1/3","no",0,"College"
"year1980",27,"female","white","NE","middle 1/3","yes",0,"College"
"year1980",61,"female","white","S","lower 1/3","yes",1,"HS or less"
"year1980",51,"female","black","S","middle 1/3","yes",1,"HS or less"
"year1980",30,"male","white","S","upper 1/3","no",0,"HS or less"
"year1980",57,"male","white","NE","lower 1/3","no",0,"HS or less"
"year1980",70,"female","white","NC","middle 1/3","no",0,"HS or less"
"year1980",39,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",60,"male","white","NE","upper 1/3","yes",1,"College"
"year1980",47,"female","white","W","lower 1/3","no",0,"College"
"year1980",46,"male","white","NC","middle 1/3","yes",1,"College"
"year1980",31,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",64,"male","white","S","middle 1/3","no",1,"HS or less"
"year1980",28,"male","white","NC","upper 1/3","yes",1,"College"
"year1980",58,"male","white","NC","lower 1/3","no",1,"HS or less"
"year1980",38,"male","white","NC","middle 1/3","no",0,"HS or less"
"year1980",50,"female","other","NC","middle 1/3","no",0,"HS or less"
"year1980",27,"female","white","NC","lower 1/3","no",0,"HS or less"
"year1980",20,"male","white","NE","upper 1/3","no",0,"College"
"year1980",39,"female","white","NC","lower 1/3","yes",0,"HS or less"
"year1980",80,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",65,"female","white","S","middle 1/3","yes",1,"HS or less"
"year1980",54,"female","white","NC","upper 1/3","no",1,"HS or less"
"year1980",50,"male","white","NE","upper 1/3","yes",0,"HS or less"
"year1980",22,"female","other","NE","upper 1/3","no",0,"College"
"year1980",40,"female","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",43,"male","white","NC","upper 1/3","no",0,"College"
"year1980",59,"female","black","NE","lower 1/3","yes",1,"HS or less"
"year1980",33,"female","other","S","lower 1/3","no",0,"HS or less"
"year1980",18,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",65,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",72,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",26,"female","other","W","upper 1/3","yes",1,"College"
"year1980",52,"female","white","W","middle 1/3","no",1,"HS or less"
"year1980",37,"female","white","S","upper 1/3","no",1,"College"
"year1980",50,"female","other","W","upper 1/3","no",1,"College"
"year1980",72,"male","white","W","upper 1/3","no",0,"HS or less"
"year1980",22,"male","white","S","lower 1/3","yes",0,"HS or less"
"year1980",28,"male","white","W","middle 1/3","no",1,"College"
"year1980",45,"female","black","W","lower 1/3","no",1,"HS or less"
"year1980",35,"female","white","NE","upper 1/3","no",1,"College"
"year1980",18,"female","white","NE","upper 1/3","no",0,"HS or less"
"year1980",46,"male","white","NE","middle 1/3","yes",0,"HS or less"
"year1980",31,"female","black","S","upper 1/3","yes",1,"HS or less"
"year1980",68,"male","white","NE","lower 1/3","no",0,"HS or less"
"year1980",42,"female","white","NC","upper 1/3","no",1,"HS or less"
"year1980",58,"male","white","NC","upper 1/3","yes",1,"College"
"year1980",63,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",49,"female","white","S","middle 1/3","no",1,"HS or less"
"year1980",36,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",27,"female","white","S","middle 1/3","no",1,"College"
"year1980",82,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",55,"female","white","NC","upper 1/3","yes",1,"HS or less"
"year1980",38,"male","white","W","upper 1/3","no",0,"College"
"year1980",39,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",53,"male","white","W","upper 1/3","no",0,"College"
"year1980",28,"male","white","W","upper 1/3","yes",1,"College"
"year1980",53,"male","white","NE","middle 1/3","no",0,"HS or less"
"year1980",40,"female","white","NE","upper 1/3","no",0,"HS or less"
"year1980",32,"female","black","S","middle 1/3","yes",1,"College"
"year1980",53,"female","white","NC","upper 1/3","no",1,"HS or less"
"year1980",37,"male","black","NC","lower 1/3","no",1,"HS or less"
"year1980",70,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",65,"female","white","NC","lower 1/3","no",0,"College"
"year1980",86,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",27,"female","other","W","middle 1/3","yes",0,"HS or less"
"year1980",36,"male","white","W","upper 1/3","yes",1,"College"
